alimento,kcal,azucar_anadido,grasa_tot,grasa_sat,sodio,edulcorante,cafeina
"Zucchini, crudo",16.0,0.0,0.3,0.09,8.0,False,False
"Zucchini, hervido",16.0,0.0,0.3,0.09,9.0,False,False
"Aceituna negra",119.0,0.0,10.9,2.28,735.0,False,False
"Aceituna verde",130.0,0.0,13.5,2.03,1556.0,False,False
"Ananá",50.0,0.0,0.2,0.01,2.0,False,False
"Ananá, enlatado (fruta y almíbar)",84.0,8.5,0.1,0.01,1.0,False,False
"Arándanos",54.0,0.0,0.3,0.03,1.0,False,False
"Banana",92.0,0.0,0.2,0.112,1.0,False,False
"Cereza",65.0,0.0,0.5,0.04,3.0,False,False
"Ciruela",51.0,0.0,0.2,0.02,2.0,False,False
"Ciruela pasa / ciruela seca",236.0,0.0,0.1,0.09,21.0,False,False
"Coco rallado",504.0,35.8,35.5,31.47,262.0,False,False
"Damasco",41.0,0.0,0.1,0.03,1.0,False,False
"Dátiles",282.0,0.0,0.3,0.03,2.0,False,False
"Durazno",45.0,0.0,0.1,0.02,3.0,False,False
"Durazno orejón",234.0,0.0,0.8,0.08,7.0,False,False
"Durazno, enlatado (fruta y almíbar)",70.0,12.1,0.1,0.01,1.0,False,False
"Frambuesa",32.0,0.0,0.7,0.02,1.0,False,False
"Frutilla",31.0,0.0,0.6,0.02,2.0,False,False
"Higo",74.0,0.0,0.4,0.06,2.0,False,False
"Higo desecado",238.0,0.0,0.9,0.35,10.0,False,False
"Kiwi",56.0,0.0,0.5,0.05,3.0,False,False
"Limón",35.0,0.0,0.9,0.09,6.0,False,False
"Mandarina",52.0,0.0,0.3,0.04,2.0,False,False
"Mango",60.0,0.0,0.4,0.09,1.0,False,False
"Manzana con piel",48.0,0.0,0.2,0.03,1.0,False,False
"Manzana sin piel",59.0,0.0,0.3,0.04,5.0,False,False
"Melón",37.0,0.0,0.1,0.06,18.0,False,False
"Membrillo",56.0,0.0,0.1,0.05,3.0,False,False
"Naranja",43.0,0.0,0.12,0.023,0.0,False,False
"Palta",190.0,0.0,19.5,4.1,7.0,False,False
"Pera",55.0,0.0,0.4,0.02,2.0,False,False
"Pera orejón",262.0,0.0,0.4,0.08,6.0,False,False
"Pera, enlatada (fruta y almíbar)",72.0,9.1,0.1,0.01,5.0,False,False
"Pomelo",39.0,0.0,0.1,0.01,1.0,False,False
"Sandía",32.0,0.0,0.2,0.02,8.0,False,False
"Uva",73.0,0.0,0.2,0.05,2.0,False,False
"Uva pasa",315.0,0.0,0.3,0.09,26.0,False,False
"Almidón de maíz, crudo",363.0,0.0,0.1,0.01,9.0,False,False
"Almidón de mandioca, crudo",363.0,0.0,0.1,0.01,9.0,False,False
"Amaranto, crudo",366.0,0.0,7.8,1.9,4.0,False,False
"Arroz blanco, crudo",339.0,0.0,0.2,0.05,4.0,False,False
"Arroz blanco, hervido",126.0,0.0,0.2,0.06,0.0,False,False
"Arroz integral, crudo",350.0,0.0,3.2,0.59,5.0,False,False
"Arroz yamaní, crudo",345.0,0.0,2.7,0.54,4.0,False,False
"Arveja, semilla seca cruda",311.0,0.0,2.9,0.41,16.0,False,False
"Avena, arrollada, cruda",357.0,0.0,7.5,1.52,2.0,False,False
"Batata, cruda",73.0,0.0,0.1,0.02,6.0,False,False
"Batata, hervida",83.0,0.0,0.1,0.03,6.0,False,False
"Choclo, crudo",97.0,0.0,1.2,0.18,40.0,False,False
"Choclo, hervido",100.0,0.0,0.7,0.11,4.0,False,False
"Fideos secos, crudos",352.0,0.0,0.0,1.5,0.28,6.0,False,False
"Fideos secos integrales, crudos",346.0,0.0,1.6,0.25,14.0,False,False
"Garbanzos, crudos",339.0,0.0,6.0,0.603,24.0,False,False
"Garbanzos, hervidos",138.0,0.0,2.6,0.269,8.0,False,False
"Gérmen de trigo",334.0,0.0,9.7,1.67,12.0,False,False
"Harina de algarrobo",221.0,0.0,0.7,0.09,35.0,False,False
"Harina de arroz, cruda",348.0,0.0,1.4,0.39,0.0,False,False
"Harina de cebada, cruda",328.0,0.0,1.7,0.34,4.0,False,False
"Harina de centeno, cruda",333.0,0.0,0.9,0.15,2.0,False,False
"Harina de chía",374.0,0.0,30.7,3.33,16.0,False,False
"Harina de garbanzos, cruda",338.0,0.0,6.7,0.69,64.0,False,False
"Harina de maíz, cruda",307.0,0.0,1.39,0.171,25.0,False,False
"Harina de quinoa, cruda",304.0,0.0,1.0,0.12,2.0,False,False
"Harina de soja, cruda",338.0,0.0,8.9,1.29,9.0,False,False
"Harina de trigo 000 fortificada",329.0,0.0,1.0,0.16,7.0,False,False
"Harina de trigo 0000 fortificada",353.0,0.0,0.9,0.15,7.0,False,False
"Harina de trigo integral, cruda",308.0,0.0,3.0,0.43,16.0,False,False
"Harina leudante, cruda",329.0,0.0,1.0,0.16,714.0,False,False
"Lentejas, crudas",301.0,0.0,0.8,0.15,12.0,False,False
"Lentejas, hervidas",88.0,0.0,0.4,0.05,2.0,False,False
"Levadura fresca",91.0,0.0,1.9,0.24,30.0,False,False
"Levadura seca en polvo",288.0,0.0,7.6,1.0,51.0,False,False
"Papa, cruda",79.0,0.0,0.1,0.03,24.0,False,False
"Papa, hervida",81.0,0.0,0.1,0.03,5.0,False,False
"Polenta / Harina de maíz hervida",108.0,0.0,0.4,0.06,6.0,False,False
"Polvo de hornear",96.0,0.0,0.1,0.0,7893.0,False,False
"Porotos, crudos",276.0,0.0,1.1,0.07,8.0,False,False
"Porotos, hervidos",117.0,0.0,0.4,0.03,6.0,False,False
"Quinoa, semilla, cruda",330.0,0.0,5.1,1.45,6.0,False,False
"Salvado de avena",246.0,0.0,7.0,1.33,4.0,False,False
"Salvado de trigo",216.0,0.0,5.5,0.89,27.0,False,False
"Sémola de trigo, cruda",336.0,0.0,1.1,0.15,1.0,False,False
"Soja texturizada",283.0,0.0,1.2,0.21,20.0,False,False
"Soja, porotos crudos",413.0,0.0,19.9,2.88,7.0,False,False
"Tofu",149.0,0.0,8.7,1.26,14.0,False,False
"Trigo burgol, crudo",315.0,0.0,1.3,0.23,17.0,False,False
"Leche condensada",328.0,43.0,8.7,5.49,127.0,False,False
"Leche descremada fluida",43.0,0.0,0.4,0.1,53.0,False,False
"Leche descremada en polvo fortificada",360.0,0.0,1.0,0.5,563.0,False,False
"Leche entera fluida",58.0,0.0,2.9,1.87,57.0,False,False
"Leche entera en polvo fortificada",480.0,0.0,24.8,15.54,404.0,False,False
